ID_EVENTO,ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,AREA,RDT_AJUSTADO,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Antes_Siem,ContEnfQui_Siem_Eme,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Antes_Siem,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose,TotN_Antes_Siem,TotN_Siem_Emer,TotN_Emer_Flor,TotP_Antes_Siem,TotP_Siem_Emer,TotP_Emer_Flor,TotK_Antes_Siem,TotK_Siem_Emer,TotK_Emer_Flor,FerOrg_Antes_Siem,FerOrg_Siem_Emer,FerOrg_Emer_Flor,FerQui_Antes_Siem,FerQui_Siem_Emer,FerQui_Emer_Flor,PENDIENTE_RASTA,TERRENO_CIRCUN_RASTA,POSICION_PERFIL_RASTA,NO_CAPAS_RASTA,PH_RASTA,PEDREG_PERFIL_ROCAS,CAP_ENDURE_RASTA,PROFUND_CAP_ENDURE_RASTA,ESPESOR_CAP_ENDURE_RASTA,MOTEADOS_RASTA,PROFUND_MOTEADOS_RASTA,MOTEADOS_MAS70cm._RASTA,ESTRUCTURA_RASTA,OBSERVA_EROSION_RASTA,OBSERVA_MOHO_RASTA,OBSERVA_COSTRAS_DURAS_RASTA,SITIO_EXPUESTO_SOL_RASTA,OBSERVA_COSTRAS_BLANCAS_RASTA,OBSERVA_COSTAS_NEGRAS_RASTA,REGION_SECA_ARIDA_RASTA,OBSERVA_RAICES_VIVAS_RASTA,PROFUND_RAICES_VIVAS_RASTA,OBSERVA_PLANTAS_PEQUENAS_RASTA,OBSERVA_HOJARASCA_MO_RASTA,SUELO_NEGRO_BLANDO_RASTA,CUCHILLO_PRIMER_HTE_RASTA,CERCA_RIOS_QUEBRADAS_RASTA,RECUBRIMIENTO_VEGETAL__SUELO_RASTA,prof_efectiva,d.interno,drenaje_externo,porc_A,porc_Ar,porc_ArA,porc_ArL,porc_FrL,porc_L,porc_F,porc_ArF,porc_FAr,porc_FA,porc_AF,porc_BLANDO,porc_DURO,porc_EXT_DURO,porc_FRIABLE,porc_FIRME,porc_EXT_FIRME,porc_PLASTICO,porc_MUY_PLASTICO
288,271,Mecanizado,SI,Otro,Algodón,SI,Manual,NO,1.0,5911.627907,6.0,56.0,72.0,60000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,69.0,0,0.0,0.0,0,0.0,30.0,0,0,0,0,0,3,2.0,PLANO O LLANO,PLANO,3.0,6.0,SIN ROCAS,SI,20.0,1.0,SI,37.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,20.0,LENTO A MUY LENTO,NINGUNO,0.0,0.0,45.68,0.0,29.63,0.0,0.0,0.0,24.69,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,272,Manual,NO,Otro,Algodón,SI,Manual,NO,1.0,5053.488372,5.0,43.0,85.0,60000,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,2,2.0,PLANO O LLANO,PLANO,3.0,6.0,SIN ROCAS,SI,20.0,1.0,SI,20.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,20.0,LENTO A MUY LENTO,NINGUNO,0.0,0.0,0.0,0.0,42.86,0.0,0.0,0.0,57.14,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,273,Manual,SI,FNC 3056,Algodón,SI,Manual,NO,1.0,4186.046512,5.0,58.0,71.0,58000,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0.0,0.0,69.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,2,1.0,PLANO O LLANO,PLANO,3.0,6.0,SIN ROCAS,SI,21.0,1.0,SI,23.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,21.0,LENTO A MUY LENTO,NINGUNO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.06,52.94,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,274,Manual,NO,PIONEER 30F32,Maiz,SI,Mecanizada,NO,1.0,5790.697674,5.0,59.0,69.0,60000,16,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.0,46.0,46.0,0,0.0,0.0,0,30.0,0.0,0,0,0,0,2,1,1.0,PLANO O LLANO,PLANO,3.0,6.0,SIN ROCAS,SI,19.0,1.0,SI,37.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,19.0,LENTO A MUY LENTO,NINGUNO,0.0,19.23,0.0,0.0,56.41,0.0,0.0,0.0,24.36,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,276,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,1.0,4868.604651,4.0,60.0,63.0,60000,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,46.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,1.0,PLANO O LLANO,PLANO,2.0,6.0,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,67.0,BUENO,NINGUNO,0.0,0.0,0.0,0.0,74.63,0.0,0.0,0.0,25.37,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,277,Manual,NO,Otro,Algodón,SI,Manual,NO,1.0,5462.790698,5.0,68.0,54.0,60000,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,46.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,2.0,PLANO O LLANO,PLANO,2.0,6.0,SIN ROCAS,SI,15.0,1.0,SI,64.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,15.0,BUENO,NINGUNO,0.0,0.0,0.0,0.0,78.05,0.0,0.0,0.0,21.95,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,278,Manual,NO,PIONEER 30F35,Yuca,SI,Manual,NO,1.0,5052.325581,6.0,65.0,70.0,60000,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,46.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,2.0,PLANO O LLANO,PLANO,3.0,6.0,SIN ROCAS,SI,25.0,2.0,SI,26.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,25.0,LENTO A MUY LENTO,NINGUNO,0.0,0.0,0.0,0.0,28.24,0.0,0.0,0.0,29.41,42.35,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,470,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,1.0,3720.930233,5.0,47.0,78.0,60000,10,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,2,2.0,PLANO O LLANO,PLANO,2.0,6.0,SIN ROCAS,SI,15.0,7.0,NO,,NO,MASIVA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,15.0,POCO AFECTADAS,SI,NO,NO,SI,BUENO,15.0,BUENO,NINGUNO,0.0,25.71,0.0,0.0,74.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.29,25.71,0.0,0.0,0.0
537,471,Mecanizado,NO,FNC 114,Maiz,NO,Manual,NO,1.0,3767.44186,5.0,48.0,72.0,68000,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,2,2.0,PLANO O LLANO,PLANO,2.0,6.0,SIN ROCAS,SI,12.0,6.0,SI,23.0,NO,MASIVA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,25.0,PLANTAS NORMALES,SI,NO,NO,SI,BUENO,25.0,LENTO A MUY LENTO,NINGUNO,0.0,28.57,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.43,28.57,0.0,0.0,0.0
539,469,Mecanizado,SI,FNC 114,Maiz,SI,Manual,NO,2.5,3767.44186,5.0,50.0,70.0,60000,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,2,2.0,PLANO O LLANO,PLANO,2.0,6.0,SIN ROCAS,SI,17.0,5.0,NO,,NO,MASIVA,NO,NO,POCO MARCADAS,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,20.0,PLANTAS NORMALES,SI,NO,SI,SI,BUENO,20.0,BUENO,NINGUNO,0.0,35.71,0.0,0.0,64.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
540,475,Manual,SI,PIONEER 30F35 H,Maiz,SI,Manual,NO,2.0,4000.0,6.0,47.0,88.0,63000,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,30.0,0,0,0,0,0,3,2.0,PLANO O LLANO,PLANO,3.0,6.5,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,MASIVA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,60.0,PLANTAS NORMALES,NO,NO,NO,NO,ESPACIADO,60.0,BUENO,NINGUNO,0.0,54.28,0.0,45.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71,54.28,0.0,0.0,0.0
543,478,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,2.0,2383.72093,5.0,79.0,59.0,68000,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,69.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,3.0,ONDULADO,PLANO CON ONDULACIONES,2.0,5.0,SIN ROCAS,SI,8.0,11.0,NO,,NO,ATERRONADA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,SI,SI,26.0,PLANTAS NORMALES,NO,NO,NO,SI,BUENO,26.0,BUENO,LENTO,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
548,479,Mecanizado,NO,Otro,Maiz,SI,Manual,SI,1.0,3581.395349,6.0,45.0,70.0,60000,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0.0,0.0,69.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,3,2.0,PLANO O LLANO,PLANO,2.0,6.0,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,MASIVA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,28.0,PLANTAS NORMALES,NO,NO,NO,NO,REGULAR,28.0,BUENO,NINGUNO,0.0,32.86,0.0,0.0,67.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.14,32.86,0.0,0.0
549,480,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,3.0,2412.790698,5.0,46.0,92.0,68000,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,69.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,5.0,ONDULADO,PIE DE UNA ELEVACION,2.0,5.0,SIN ROCAS,SI,10.0,13.0,NO,,NO,MASIVA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,SI,NO,-1.0,PLANTAS NORMALES,NO,NO,NO,SI,REGULAR,0.0,BUENO,LENTO,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,484,Mecanizado,NO,PIONEER 30F35,Maiz,SI,Manual,NO,2.0,4767.44186,5.0,43.0,79.0,68000,8,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,115.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,3,2.0,PLANO O LLANO,PLANO,2.0,6.5,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,ATERRONADA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,SI,SI,23.0,PLANTAS NORMALES,NO,NO,NO,SI,REGULAR,70.0,BUENO,NINGUNO,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.43,28.57,0.0,0.0,0.0
560,485,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,2.5,5339.534884,5.0,42.0,71.0,65000,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,121.0,0,0.0,3.0,0,0.0,30.0,0,0,0,0,0,5,2.0,PLANO O LLANO,PLANO,2.0,6.0,SIN ROCAS,SI,17.0,7.0,NO,,NO,ATERRONADA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,SI,SI,25.0,PLANTAS NORMALES,NO,NO,NO,SI,REGULAR,25.0,BUENO,NINGUNO,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
617,514,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,2.0,3337.209302,5.0,43.0,78.0,68000,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,30.0,0,0,0,0,0,3,4.0,PLANO O LLANO,PLANO CON ONDULACIONES,2.0,5.0,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,ATERRONADA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,SI,SI,28.0,PLANTAS NORMALES,NO,NO,NO,NO,BUENO,80.0,BUENO,LENTO,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
618,515,Mecanizado,NO,PIONEER 30F35,Maiz,SI,Manual,NO,6.9,4825.581395,5.0,45.0,102.0,60000,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,115.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,2,2.0,PLANO O LLANO,PLANO,2.0,5.5,SIN ROCAS,NO,-1.0,-1.0,NO,-1.0,NO,ATERRONADA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,SI,NO,-1.0,POCO AFECTADAS,NO,NO,NO,NO,REGULAR,28.0,BUENO,NINGUNO,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
766,651,Mecanizado,NO,DK 234,Algodón,NO,Manual,NO,1.5,3296.511628,5.0,44.0,73.0,60000,8,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0.0,0.0,138.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,3,2.0,PLANO O LLANO,PLANO,2.0,5.0,SIN ROCAS,NO,-1.0,-1.0,SI,-1.0,SI,MASIVA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,45.0,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,45.0,LENTO A MUY LENTO,NINGUNO,0.0,41.43,0.0,0.0,58.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.57,41.43,0.0,0.0,0.0
