ID_EVENTO,ID_PROD,FECHA_CONTROL,TIPO_OBJETIVO,TIPO_CONTROL,MOLECULA_ACTIVA
216,237,4/30/2013,Malezas,Químico,Atrazina
216,237,5/10/2013,Malezas,Químico,Glufosinato de amonio
217,240,4/16/2013,Malezas,Químico,Atrazina
217,240,5/8/2013,Malezas,Químico,Glufosinato de amonio
221,242,5/23/2013,Malezas,Químico,Atrazina
250,190,4/30/2013,Malezas,Químico,Paraquat
255,184,4/1/2013,Plagas,Químico,Lorsban 4E
256,183,4/13/2013,Plagas,Químico,Lorsban 4E
259,180,3/13/2013,Plagas,Químico,Lorsban 4E
262,90,4/25/2013,Plagas,Químico,Lannate
265,157,4/1/2013,Plagas,Químico,Lorsban 4E
265,157,4/9/2013,Malezas,Químico,Paraquat
266,179,4/29/2013,Malezas,Químico,Paraquat
266,179,3/26/2013,Malezas,Químico,Glifosato
268,91,4/23/2013,Plagas,Químico,Lorsban 4E
268,91,5/6/2013,Malezas,Químico,Paraquat
269,92,4/29/2013,Plagas,Químico,Lorsban 4E
269,92,4/29/2013,Malezas,Químico,Paraquat
272,189,4/18/2013,Plagas,Químico,Lorsban 4E
272,189,4/29/2013,Malezas,Químico,Paraquat
273,17,5/15/2013,Plagas,Químico,Cipermetrina
273,17,5/20/2013,Malezas,Químico,Metolaclor
276,94,4/16/2013,Plagas,Químico,Lorsban 4E
276,94,4/23/2013,Malezas,Químico,Paraquat
277,185,5/2/2013,Malezas,Químico,Paraquat
278,87,4/30/2013,Plagas,Químico,Lorsban 4E
278,87,4/10/2013,Malezas,Químico,Glifosato
278,87,5/6/2013,Malezas,Químico,Paraquat
278,87,5/6/2013,Malezas,Químico,Paraquat
280,88,5/21/2013,Malezas,Químico,Paraquat
281,89,4/30/2013,Plagas,Químico,Lorsban 4E
281,89,5/6/2013,Malezas,Químico,Paraquat
282,18,5/22/2013,Plagas,Químico,Cipermetrina
282,18,6/7/2013,Plagas,Químico,Cipermetrina
282,18,5/11/2013,Malezas,Químico,Atrazina
282,18,6/13/2013,Malezas,Químico,Glufosinato de amonio
283,22,5/23/2013,Plagas,Químico,exale
283,22,5/28/2013,Malezas,Químico,Atrazina
284,266,5/22/2013,Plagas,Químico,EXALE
284,266,5/24/2013,Malezas,Químico,Glufosinato de amonio
286,267,5/30/2013,Malezas,Químico,EXALE
286,267,5/4/2013,Malezas,Químico,Glifosato
287,268,6/11/2013,Plagas,Químico,Cipermetrina
287,268,6/10/2013,Malezas,Químico,EXALT
288,269,6/7/2013,Plagas,Químico,Cipermetrina
289,271,5/13/2013,Plagas,Químico,Lorsban 4E
289,271,5/3/2013,Malezas,Químico,Atrazina
290,272,5/23/2013,Plagas,Químico,Lorsban 4E
290,272,6/12/2013,Plagas,Químico,BENZOATO DE EMAMECTINA
290,272,6/1/2013,Malezas,Químico,Atrazina
290,272,6/12/2013,Malezas,Químico,Glufosinato de amonio
291,273,6/5/2013,Plagas,Químico,PROACLIN
291,273,5/21/2013,Plagas,Químico,Cipermetrina
291,273,5/21/2013,Malezas,Químico,Glifosato
291,273,6/10/2013,Malezas,Químico,Glufosinato de amonio
293,275,6/6/2013,Plagas,Químico,Cipermetrina
294,276,6/8/2013,Plagas,Químico,Cipermetrina
295,277,5/30/2013,Plagas,Químico,Cipermetrina
295,277,6/30/2013,Plagas,Químico,Cipermetrina
295,277,5/17/2013,Malezas,Químico,Glifosato
301,33,4/10/2013,Plagas,Químico,Cipermetrina
303,35,3/28/2013,Plagas,Químico,metomil
356,331,4/28/2013,Plagas,Químico,Cipermetrina
356,331,4/28/2013,Malezas,Químico,Atrazina
358,231,3/16/2013,Malezas,Químico,Atrazina
358,231,6/13/2013,Malezas,Químico,Glufosinato de amonio
359,233,4/30/2013,Malezas,Químico,Glufosinato de amonio
359,233,4/20/2013,Malezas,Químico,Glufosinato de amonio
385,355,5/6/2013,Plagas,Biológico,Basillus turingensis
386,356,3/25/2013,Malezas,Químico,Atrazina
386,356,5/3/2013,Malezas,Químico,Glufosinato de amonio
393,49,5/10/2013,Plagas,Químico,mach +proclain
393,49,6/3/2013,Enfermedades,Químico,azimut
394,37,3/21/2013,Malezas,Químico,Glufosinato de amonio
394,37,3/25/2013,Enfermedades,Químico,Carbendazim
420,395,10/10/2013,Malezas,Químico,2.4-D
427,447,9/21/2013,Plagas,Químico,METOMIL
427,447,10/10/2013,Plagas,Químico,LEFENURON
427,447,9/10/2013,Malezas,Químico,Pendimentalina
427,447,10/15/2013,Malezas,Químico,Glufosinato de amonio
427,447,10/20/2013,Enfermedades,Químico,Carbendazim
427,447,10/20/2013,Enfermedades,Químico,AZOXYSTROBINA
433,453,9/20/2013,Plagas,Químico,LEFENURON
433,453,10/25/2013,Plagas,Químico,EMAMETIN
433,453,10/15/2013,Plagas,Químico,lefenuron
433,453,9/20/2013,Plagas,Químico,lefenuron
433,453,10/25/2013,Plagas,Químico,emametin
433,453,9/3/2013,Malezas,Químico,Pendimentalina
433,453,9/9/2013,Malezas,Químico,Atrazina
433,453,9/9/2013,Enfermedades,Químico,Difenoconazole
433,453,10/10/2013,Enfermedades,Químico,Difenoconazole
468,391,10/24/2013,Malezas,Químico,Atrazina
468,391,10/24/2013,Malezas,Químico,2.4-D
510,388,10/12/2013,Malezas,Químico,Atrazina
511,387,10/17/2013,Malezas,Químico,Atrazina
536,504,10/24/2013,Plagas,Químico,Cipermetrina
536,504,10/19/2013,Plagas,Químico,Cipermetrina
536,504,9/27/2013,Malezas,Químico,Glifosato
536,504,10/3/2013,Malezas,Químico,Glifosato
536,504,11/12/2013,Malezas,Químico,Glufosinato de amonio
537,505,10/19/2013,Plagas,Químico,Cipermetrina
537,505,10/3/2013,Malezas,Químico,Glifosato
537,505,11/12/2013,Malezas,Químico,Glufosinato de amonio
539,503,10/24/2013,Plagas,Químico,Cipermetrina
539,503,9/27/2013,Malezas,Químico,Glifosato
539,503,11/11/2013,Malezas,Químico,Glufosinato de amonio
540,509,10/18/2013,Malezas,Químico,Glifosato
541,510,10/2/2013,Plagas,Químico,Cipermetrina
541,510,10/17/2013,Malezas,Químico,Glufosinato de amonio
541,510,10/17/2013,Malezas,Químico,"C9H10Cl2N2O, 33,4diclorofenil1,1dimetilurea"
542,511,10/10/2013,Plagas,Químico,Cipermetrina
542,511,11/9/2013,Plagas,Químico,Cipermetrina
542,511,10/21/2013,Malezas,Químico,Atrazina
542,511,10/21/2013,Malezas,Químico,2.4-D
542,511,11/7/2013,Malezas,Químico,Atrazina
542,511,11/7/2013,Malezas,Químico,2.4-D
543,512,9/28/2013,Plagas,Químico,Cipermetrina
543,512,10/18/2013,Malezas,Químico,Paraquat
548,527,10/9/2013,Plagas,Químico,Cipermetrina
548,527,10/28/2013,Malezas,Químico,Glifosato
548,527,11/12/2013,Malezas,Químico,Glifosato
548,527,11/12/2013,Malezas,Químico,Imazetapir RS5etil24isopropil4metil5oxo2Imidazolin2yl Ã¡cido nicotÃ­nico
549,528,9/27/2013,Plagas,Químico,Cipermetrina
549,528,9/17/2013,Malezas,Químico,Paraquat
559,530,11/5/2013,Malezas,Químico,Glufosinato de amonio
559,530,11/5/2013,Malezas,Químico,Atrazina
559,530,10/31/2013,Enfermedades,Químico,Tebuconazole
559,530,11/15/2013,Enfermedades,Químico,Tebuconazole
560,531,10/19/2013,Malezas,Químico,Glufosinato de amonio
562,532,8/31/2013,Plagas,Químico,Cipermetrina
562,532,10/3/2013,Malezas,Químico,Glifosato
562,532,10/15/2013,Enfermedades,Químico,Carbendazim
608,534,9/18/2013,Plagas,Químico,DIMETOATO
608,534,8/18/2013,Malezas,Químico,Glifosato
608,534,8/18/2013,Malezas,Químico,2.4-D
608,534,9/18/2013,Malezas,Químico,Glufosinato de amonio
608,534,10/18/2013,Enfermedades,Químico,Carbendazim
608,534,11/4/2013,Enfermedades,Químico,Carbendazim
609,533,3/16/2014,Plagas,Químico,Lorsban 4E
609,533,1/14/2014,Malezas,Químico,Glifosato
609,533,2/11/2014,Malezas,Químico,Glifosato
609,533,3/16/2014,Enfermedades,Químico,Carbendazim
610,534,11/1/2013,Enfermedades,Químico,Carbendazim
610,534,11/20/2013,Enfermedades,Químico,Carbendazim
610,534,10/4/2013,Plagas,Químico,DIMETOATO
610,534,9/2/2013,Malezas,Químico,Glifosato
610,534,9/2/2013,Malezas,Químico,2.4-D
610,534,10/4/2013,Malezas,Químico,Glufosinato de amonio
610,534,12/7/2013,Enfermedades,Químico,Carbendazim
611,536,1/4/2014,Plagas,Químico,Lorsban 4E
611,536,11/4/2013,Malezas,Químico,Glifosato
611,536,11/4/2013,Malezas,Químico,Atrazina
615,539,10/14/2013,Malezas,Químico,Glifosato
615,539,10/14/2013,Malezas,Químico,Pendimentalina
616,540,10/25/2013,Enfermedades,Químico,Propiconazol
616,540,10/25/2013,Enfermedades,Químico,Mancozeb
617,541,11/11/2013,Plagas,Químico,Cipermetrina
617,541,11/9/2013,Malezas,Químico,Glufosinato de amonio
618,542,11/12/2013,Malezas,Químico,Glufosinato de amonio
622,449,8/21/2013,Plagas,Químico,LUFENURON
622,449,8/21/2013,Plagas,Químico,0RGANOFOSFORADO
622,449,9/2/2013,Plagas,Químico,Cipermetrina
622,449,8/10/2013,Malezas,Químico,Pendimentalina
622,449,8/10/2013,Malezas,Químico,Atrazina
622,449,9/20/2013,Malezas,Químico,Glufosinato de amonio
622,449,9/11/2013,Enfermedades,Químico,Carbendazim
622,449,10/21/2013,Enfermedades,Químico,TRIFLOXISTROBINA
623,454,9/20/2013,Plagas,Químico,METOMIL
623,454,10/10/2013,Plagas,Químico,METOMYL
623,454,9/6/2013,Malezas,Químico,Pendimentalina
623,454,10/20/2013,Malezas,Químico,Glufosinato de amonio
623,454,10/25/2013,Enfermedades,Químico,Carbendazim
623,454,10/25/2013,Enfermedades,Químico,Mancozeb
624,452,9/3/2013,Plagas,Químico,LUFENURON
624,452,9/3/2013,Plagas,Químico,PROFENOFOS
624,452,8/21/2013,Malezas,Químico,Pendimentalina
624,452,9/27/2013,Malezas,Químico,Glufosinato de amonio
624,452,10/2/2013,Enfermedades,Químico,Carbendazim
625,451,9/23/2013,Plagas,Químico,Cipermetrina
625,451,11/5/2013,Plagas,Químico,Cipermetrina
625,451,9/10/2013,Malezas,Químico,Pendimentalina
625,451,10/6/2013,Malezas,Químico,Glufosinato de amonio
625,451,11/5/2013,Enfermedades,Químico,Carbendazim
626,450,9/1/2013,Plagas,Químico,LUFENURON
626,450,9/1/2013,Plagas,Químico,PROFENOFOS
626,450,8/18/2013,Malezas,Químico,Pendimentalina
626,450,9/5/2013,Malezas,Químico,Atrazina
626,450,10/22/2013,Malezas,Químico,Glufosinato de amonio
626,450,10/5/2013,Enfermedades,Químico,Carbendazim
626,450,10/5/2013,Enfermedades,Químico,AMISTAR TOP
629,549,11/10/2013,Plagas,Químico,LANATE METOMYLO
629,549,12/12/2013,Plagas,Químico,TIOMETOXAN
629,549,10/15/2013,Malezas,Químico,Glifosato
629,549,11/20/2013,Malezas,Químico,Glufosinato de amonio
629,549,12/9/2013,Enfermedades,Químico,DACONIL
629,549,1/4/2014,Enfermedades,Químico,Clorotalonil
631,547,9/3/2013,Plagas,Químico,LUFENURON
631,547,9/3/2013,Plagas,Químico,CURACRON
631,547,8/22/2013,Malezas,Químico,Pendimentalina
631,547,8/22/2013,Malezas,Químico,Atrazina
631,547,9/25/2013,Malezas,Químico,CIAMAX
631,547,10/9/2013,Enfermedades,Químico,Carbendazim
631,547,10/9/2013,Enfermedades,Químico,AZOXITROBINA AMISTAR T0P
633,551,9/21/2013,Plagas,Químico,Piretroides
633,551,9/10/2013,Malezas,Químico,Atrazina
633,551,10/12/2013,Malezas,Químico,Glufosinato de amonio
633,551,10/28/2013,Enfermedades,Químico,AZOXISTROBINA
635,552,8/20/2013,Plagas,Químico,Piretroides
635,552,9/5/2013,Plagas,Químico,Piretroides
635,552,10/6/2013,Plagas,Químico,Piretroides
635,552,8/11/2013,Malezas,Químico,Pendimentalina
635,552,9/2/2013,Malezas,Químico,Glufosinato de amonio
635,552,9/1/2013,Enfermedades,Químico,AZOXISTROBINA
635,552,9/25/2013,Enfermedades,Químico,AZOXITROBINA
645,554,9/3/2013,Plagas,Químico,Cipermetrina
645,554,10/25/2013,Plagas,Químico,LUFEURONMACH
645,554,10/25/2013,Plagas,Químico,CURACRON
645,554,10/28/2013,Malezas,Químico,Glufosinato de amonio
645,554,10/3/2013,Enfermedades,Químico,Propiconazol
656,622,4/15/2014,Malezas,Químico,Atrazina
656,622,4/30/2014,Malezas,Químico,Glufosinato de amonio
668,598,4/8/2014,Plagas,Químico,Emamectina benzoato
668,598,4/19/2014,Malezas,Químico,Glifosato
671,604,3/24/2014,Plagas,Químico,Emamectina benzoato
671,604,4/4/2014,Malezas,Químico,Glifosato
672,606,5/23/2014,Plagas,Químico,Proclaim
672,606,7/24/2014,Plagas,Químico,Regent
672,606,5/26/2014,Malezas,Químico,Glifosato
672,606,7/24/2014,Enfermedades,Químico,Azoxistrobin + Difenoconazol
673,602,5/24/2014,Plagas,Químico,Exalt 60
673,602,6/19/2014,Plagas,Químico,Arriero + Arena dirigido
673,602,5/19/2014,Malezas,Químico,Glifosato
674,605,5/8/2014,Plagas,Químico,Proclaim
674,605,5/10/2014,Malezas,Químico,Glifosato
675,600,5/5/2014,Plagas,Químico,Exalt 60
675,600,7/5/2014,Plagas,Químico,Engeo
675,600,7/15/2014,Enfermedades,Químico,Azoxystrobin + Difenoconazol
676,607,3/31/2014,Plagas,Químico,Exalt 60
676,607,4/4/2014,Malezas,Químico,Glifosato
678,603,5/5/2014,Plagas,Químico,Proclaim
678,603,5/14/2014,Plagas,Químico,Arriero polvo + arena
678,603,4/26/2014,Malezas,Químico,Glifosato
678,603,4/26/2014,Malezas,Químico,Atrazina
680,537,9/6/2013,Plagas,Químico,Cipermetrina
681,538,9/10/2013,Plagas,Químico,Cipermetrina
681,538,10/21/2013,Enfermedades,Químico,Carbendazim
693,687,4/15/2014,Plagas,Químico,Cipermetrina
693,687,4/10/2014,Malezas,Químico,Atrazina
697,688,4/14/2014,Malezas,Químico,Atrazina
700,391,5/17/2014,Malezas,Químico,Glifosato
701,599,6/4/2014,Plagas,Químico,Exalt 60
701,599,7/9/2014,Malezas,Químico,Glifosato
701,599,7/29/2014,Enfermedades,Químico,Mancozeb
702,601,4/5/2014,Plagas,Químico,Cipermetrina
702,601,4/20/2014,Plagas,Químico,Lorsban 4E
702,601,3/19/2014,Malezas,Químico,Atrazina
702,601,4/14/2014,Malezas,Químico,Glufosinato de amonio
719,692,4/3/2014,Plagas,Químico,Lorsban 4E
719,692,2/14/2014,Malezas,Químico,Glifosato
723,673,4/25/2014,Plagas,Químico,Cipermetrina
723,673,4/28/2014,Malezas,Químico,Glufosinato de amonio
723,673,5/19/2014,Enfermedades,Químico,Carbendazim
724,672,3/20/2014,Plagas,Químico,Cipermetrina
725,673,4/4/2014,Plagas,Químico,Cipermetrina
725,673,5/9/2014,Malezas,Químico,Glufosinato de amonio
726,672,4/23/2014,Plagas,Químico,Cipermetrina
726,672,6/2/2014,Enfermedades,Químico,Carbendazim
727,672,4/10/2014,Plagas,Químico,Cipermetrina
727,672,5/12/2014,Enfermedades,Químico,Carbendazim
729,696,4/30/2014,Plagas,Químico,AVERMECTINAS
729,696,4/30/2014,Plagas,Químico,BENZOYL UREA
729,696,6/16/2014,Plagas,Químico,IMIDACLOPRID
729,696,4/8/2014,Malezas,Químico,Atrazina
729,696,4/8/2014,Malezas,Químico,Glifosato
729,696,6/16/2014,Enfermedades,Químico,ESTROBILURINAS
729,696,6/16/2014,Enfermedades,Químico,Carbendazim
729,696,6/16/2014,Enfermedades,Químico,TRIAZOL
729,696,6/28/2014,Enfermedades,Químico,Tebuconazole
729,696,6/28/2014,Enfermedades,Químico,Mancozeb
730,631,4/15/2014,Plagas,Químico,Cipermetrina
730,631,5/25/2014,Plagas,Químico,Cipermetrina
730,631,3/21/2014,Malezas,Químico,Atrazina
730,631,3/21/2014,Malezas,Químico,Glifosato
730,631,5/25/2014,Enfermedades,Químico,Difenoconazole
730,631,5/25/2014,Enfermedades,Químico,Propiconazol
730,631,5/25/2014,Enfermedades,Químico,Carbendazim
730,631,6/10/2014,Enfermedades,Químico,ESTROBILURINAS
730,631,6/10/2014,Enfermedades,Químico,Carbendazim
730,631,6/25/2014,Enfermedades,Químico,Propiconazol
730,631,6/25/2014,Enfermedades,Químico,Carbendazim
731,632,4/15/2014,Plagas,Químico,Cipermetrina
731,632,4/15/2014,Plagas,Químico,BENZOYL UREA
731,632,5/26/2014,Plagas,Químico,Cipermetrina
731,632,3/20/2014,Malezas,Químico,Atrazina
731,632,4/20/2014,Malezas,Químico,Glifosato
731,632,5/26/2014,Enfermedades,Químico,ANILINO PIRIMIDINAS
731,632,5/26/2014,Enfermedades,Químico,Carbendazim
731,632,6/15/2014,Enfermedades,Químico,Tebuconazole
731,632,6/15/2014,Enfermedades,Químico,Carbendazim
732,628,4/10/2014,Plagas,Químico,IMIDACLOPRID
732,628,4/1/2014,Malezas,Químico,Glufosinato de amonio
732,628,5/22/2014,Enfermedades,Químico,Propiconazol
732,628,5/22/2014,Enfermedades,Químico,Carbendazim
732,628,6/7/2014,Enfermedades,Químico,Difenoconazole
732,628,6/7/2014,Enfermedades,Químico,Mancozeb
733,626,4/15/2014,Plagas,Químico,FIPRONIL
733,626,4/15/2014,Plagas,Químico,Cipermetrina
733,626,5/26/2014,Plagas,Químico,Cipermetrina
733,626,3/20/2014,Malezas,Químico,Atrazina
733,626,3/20/2014,Malezas,Químico,Glifosato
733,626,4/10/2014,Malezas,Químico,Glifosato
733,626,5/26/2014,Enfermedades,Químico,Tebuconazole
733,626,5/26/2014,Enfermedades,Químico,Mancozeb
733,626,6/12/2014,Enfermedades,Químico,Flutriafol
735,627,4/10/2014,Plagas,Químico,METOMIL
735,627,3/30/2014,Malezas,Químico,Glifosato
735,627,3/30/2014,Malezas,Químico,Atrazina
735,627,5/20/2014,Enfermedades,Químico,PIRIMIDINAMINAS
735,627,5/20/2014,Enfermedades,Químico,Carbendazim
735,627,6/5/2014,Enfermedades,Químico,Propiconazol
735,627,6/5/2014,Enfermedades,Químico,Carbendazim
736,625,4/15/2014,Plagas,Químico,BENZOYL UREA
736,625,4/15/2014,Plagas,Químico,BENZOATO DE EMAMECTINA
736,625,5/5/2014,Plagas,Químico,BENZOYL UREA
736,625,5/5/2014,Plagas,Químico,BENZOATO DE EMAMECTINA
736,625,6/26/2014,Plagas,Químico,Cipermetrina
736,625,6/10/2014,Plagas,Químico,Cipermetrina
736,625,3/30/2014,Malezas,Químico,Atrazina
736,625,3/30/2014,Malezas,Químico,Pendimentalina
736,625,6/10/2014,Enfermedades,Químico,Propiconazol
736,625,6/10/2014,Enfermedades,Químico,Carbendazim
736,625,6/25/2014,Enfermedades,Químico,Flutriafol
737,630,4/5/2014,Plagas,Químico,BENZOATO DE EMAMECTINA
737,630,4/5/2014,Plagas,Químico,BENZOYL UREA
737,630,4/5/2014,Malezas,Químico,Atrazina
737,630,4/5/2014,Malezas,Químico,Glufosinato de amonio
737,630,6/4/2014,Enfermedades,Químico,Propiconazol
737,630,6/4/2014,Enfermedades,Químico,Carbendazim
737,630,6/15/2014,Enfermedades,Químico,Mancozeb
737,630,6/15/2014,Enfermedades,Químico,Propiconazol
744,591,4/15/2014,Plagas,Químico,TRIFLUMURON
744,591,4/29/2014,Plagas,Químico,LUFENURON
744,591,4/29/2014,Plagas,Químico,Cipermetrina
744,591,4/6/2014,Malezas,Químico,Atrazina
744,591,4/6/2014,Malezas,Químico,Pendimentalina
744,591,4/20/2014,Malezas,Químico,Nicosulfurón
744,591,6/18/2014,Enfermedades,Químico,Propiconazol
744,591,6/18/2014,Enfermedades,Químico,Carbendazim
744,591,6/18/2014,Enfermedades,Químico,Mancozeb
745,629,4/14/2014,Malezas,Químico,Atrazina
745,629,4/14/2014,Malezas,Químico,Glifosato
745,629,5/30/2014,Enfermedades,Químico,Propiconazol
745,629,5/30/2014,Enfermedades,Químico,Carbendazim
745,629,6/15/2014,Enfermedades,Químico,Propiconazol
745,629,6/15/2014,Enfermedades,Químico,Carbendazim
745,629,6/15/2014,Enfermedades,Químico,Mancozeb
747,698,4/14/2014,Malezas,Químico,Paraquat
748,402,9/25/2013,Malezas,Químico,Paraquat
749,399,11/2/2013,Malezas,Químico,Paraquat
750,397,10/10/2013,Malezas,Químico,Paraquat
751,499,10/8/2013,Malezas,Químico,Paraquat
752,500,10/21/2013,Malezas,Químico,Paraquat
753,496,11/15/2013,Plagas,Químico,Lorsban 4E
753,496,11/25/2013,Malezas,Químico,Paraquat
754,401,11/1/2013,Malezas,Químico,Paraquat
755,497,11/5/2013,Malezas,Químico,Paraquat
757,405,11/5/2013,Malezas,Mecanizado,
758,398,11/5/2013,Malezas,Químico,Paraquat
759,396,9/25/2013,Malezas,Químico,Paraquat
760,400,10/21/2013,Malezas,Químico,Paraquat
761,726,5/20/2014,Plagas,Químico,Piretroides
761,726,5/13/2014,Malezas,Químico,Atrazina
761,726,5/13/2014,Malezas,Químico,nicosulfuron
762,688,4/12/2014,Malezas,Químico,Atrazina
765,727,4/24/2014,Plagas,Químico,Spinetoram
765,727,5/19/2014,Plagas,Químico,Clorpírifos polvo
765,727,4/9/2014,Malezas,Químico,Pendimentalina
765,727,4/9/2014,Malezas,Químico,Atrazina
765,727,5/23/2014,Malezas,Químico,Glufosinato de amonio
765,727,4/9/2014,Malezas,Químico,Metolaclor
766,728,5/11/2014,Malezas,Químico,Glifosato
766,728,5/11/2014,Malezas,Químico,AMINA
766,728,6/3/2014,Malezas,Químico,Glufosinato de amonio
766,728,6/19/2014,Enfermedades,Químico,Mancozeb
767,730,9/13/2013,Plagas,Químico,curacro
767,730,9/28/2013,Plagas,Químico,mach
767,730,9/28/2013,Enfermedades,Químico,Carbendazim
769,732,5/26/2014,Plagas,Químico,Cipermetrina
769,732,6/15/2014,Plagas,Químico,Cipermetrina
769,732,7/20/2014,Plagas,Químico,Cipermetrina
769,732,5/7/2014,Malezas,Químico,Glifosato
769,732,7/30/2014,Malezas,Mecanizado,
769,732,7/20/2014,Enfermedades,Químico,Benomil
771,734,4/22/2014,Plagas,Químico,Cipermetrina
771,734,3/28/2014,Plagas,Químico,Cipermetrina
772,736,3/28/2014,Plagas,Químico,Cipermetrina
772,736,4/14/2014,Plagas,Químico,Cipermetrina
772,736,3/3/2014,Malezas,Químico,Glifosato
772,736,4/7/2014,Malezas,Químico,Pendimentalina
772,736,4/7/2014,Malezas,Químico,Atrazina
772,736,4/22/2014,Enfermedades,Químico,Difenoconazole
773,737,4/9/2014,Plagas,Químico,Cipermetrina
773,737,4/16/2014,Malezas,Químico,Glufosinato de amonio
773,737,4/20/2014,Enfermedades,Químico,Difenoconazole
774,738,3/14/2014,Plagas,Químico,Cipermetrina
774,738,4/3/2014,Plagas,Químico,Cipermetrina
775,739,3/28/2014,Plagas,Químico,Cipermetrina
775,739,4/14/2014,Plagas,Químico,Cipermetrina
775,739,3/3/2014,Malezas,Químico,Glifosato
775,739,4/7/2014,Malezas,Químico,Atrazina
775,739,4/22/2014,Enfermedades,Químico,Propiconazol
776,740,4/12/2014,Plagas,Químico,Cipermetrina
776,740,3/17/2014,Malezas,Químico,Glifosato
776,740,3/17/2014,Malezas,Químico,Atrazina
776,740,4/21/2014,Malezas,Químico,ACCENT
776,740,4/14/2014,Enfermedades,Químico,Propiconazol
776,740,4/14/2014,Enfermedades,Químico,AMISTAR TOP
777,741,3/10/2014,Plagas,Químico,PROCLIN
777,741,3/3/2014,Malezas,Químico,Atrazina
777,741,3/20/2014,Malezas,Químico,Glufosinato de amonio
777,741,4/9/2014,Enfermedades,Químico,Carbendazim
777,741,4/9/2014,Enfermedades,Químico,AMISTAR TOP
778,742,3/28/2014,Plagas,Químico,CURACRON 
778,742,3/28/2014,Plagas,Químico,MACH
778,742,3/16/2014,Malezas,Químico,Pendimentalina
778,742,3/16/2014,Malezas,Químico,Atrazina
778,742,4/25/2014,Malezas,Químico,Glufosinato de amonio
778,742,4/24/2014,Enfermedades,Químico,Propiconazol
778,742,4/24/2014,Enfermedades,Químico,Carbendazim
778,742,5/9/2014,Enfermedades,Químico,Tebuconazole
779,743,6/15/2014,Plagas,Químico,Cipermetrina
