ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose,TotN_Antes_Siem,TotN_Siem_Emer,TotN_Emer_Flor,TotP_Antes_Siem,TotP_Siem_Emer,TotP_Emer_Flor,TotK_Antes_Siem,TotK_Siem_Emer,TotK_Emer_Flor,FerOrg_Emer_Flor,FerQui_Antes_Siem,FerQui_Siem_Emer,FerQui_Emer_Flor,PENDIENTE_RASTA,TERRENO_CIRCUN_RASTA,POSICION_PERFIL_RASTA,NO_CAPAS_RASTA,PH_RASTA,PEDREG_PERFIL_ROCAS,CAP_ENDURE_RASTA,PROFUND_CAP_ENDURE_RASTA,ESPESOR_CAP_ENDURE_RASTA,MOTEADOS_RASTA,PROFUND_MOTEADOS_RASTA,MOTEADOS_MAS70cm_RASTA,ESTRUCTURA_RASTA,OBSERVA_EROSION_RASTA,OBSERVA_MOHO_RASTA,OBSERVA_COSTRAS_DURAS_RASTA,SITIO_EXPUESTO_SOL_RASTA,OBSERVA_COSTRAS_BLANCAS_RASTA,OBSERVA_COSTAS_NEGRAS_RASTA,REGION_SECA_ARIDA_RASTA,OBSERVA_RAICES_VIVAS_RASTA,PROFUND_RAICES_VIVAS_RASTA,OBSERVA_PLANTAS_PEQUENAS_RASTA,OBSERVA_HOJARASCA_MO_RASTA,SUELO_NEGRO_BLANDO_RASTA,CUCHILLO_PRIMER_HTE_RASTA,CERCA_RIOS_QUEBRADAS_RASTA,RECUBRIMIENTO_VEGETAL_SUELO_RASTA,prof_efectiva,d_interno,drenaje_externo,Porc_A,Porc_Ar,Porc_ArA,Porc_ArL,Porc_FrL,Porc_L,Porc_F,porc_x,porc_y,Porc_AF,Porc_BLANDO,Porc_DURO,Porc_EXT_DURO,Porc_FRIABLE,Porc_FIRME,Porc_EXT_FIRME,Porc_PLASTICO,Porc_MUY_PLASTICO,Temp_Max_Avg_Veg,Temp_Min_Avg_Veg,Temp_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Temp_Max_34_Freq_Veg,Rain_Accu_Veg,Rain_10_Freq_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Min_Avg_For,Temp_Avg_For,Diurnal_Range_Avg_For,Sol_Ener_Accu_For,Temp_Max_34_Freq_For,Rain_Accu_For,Rain_10_Freq_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Min_Avg_Mad,Temp_Avg_Mad,Diurnal_Range_Avg_Mad,Sol_Ener_Accu_Mad,Temp_Max_34_Freq_Mad,Rain_Accu_Mad,Rain_10_Freq_Mad,Rhum_Avg_Mad,RDT_AJUSTADO
2422,Mecanizado,SI,Otro,Algodon,SI,Manual,NO,5,47,70,70000,14,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,92,0,0,0,0,0,30,0,0,0,3,5,PLANO O LLANO,PLANO,2,6,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,30,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,34.51,24.98,29.74,9.53,15623.6,0.55,98.2,0.05,77.74,33.62,24.27,28.95,9.35,22322.2,0.4,322.7,0.21,81.13,33.33,24.62,28.98,8.7,9308.23,0.4,39.6,0.04,82.72,3337.21
2436,Mecanizado,NO,NK254 (Syngenta),Algodon,SI,Manual,NO,5,46,66,70000,14,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,92,0,0,0,0,0,0,0,0,0,3,5,PLANO O LLANO,PLANO,2,6,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,32,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,34.83,25.02,29.92,9.81,15882,0.6,62,0.05,77.14,33.5,24.29,28.9,9.2,21864.16,0.36,320.7,0.21,81.9,33.39,24.67,29.03,8.72,7495.14,0.45,28.3,0,82.15,3337.21
2439,Mecanizado,NO,P3966 (Pioneer),Algodon,SI,Manual,SI,5,47,84,70000,16,1,0,0,0,0,0,2,1,0,0,1,3,0,0,0,92,0,0,0,0,0,60,0,0,0,4,4,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,24,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,43.33,56.67,0,0,0,0,100,0,0,0,0,33.32,24.31,28.82,9.01,14614.81,0.38,198.3,0.15,80.5,34.41,24.67,29.54,9.74,22731.31,0.55,260.1,0.14,79.23,33.34,24.43,28.89,8.91,14769.07,0.36,102.4,0.13,82.13,4238.37
2444,Mecanizado,NO,PAC 105,Algodon,SI,Manual,SI,5,46,70,70000,16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,96,0,0,2.5,0,0,60,0,0,0,5,4,PLANO O LLANO,PLANO,2,6,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,18,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,33.83,24.73,29.28,9.1,15505.82,0.42,118.3,0.08,79.27,33.99,24.42,29.2,9.57,22471.86,0.48,306.2,0.19,80.25,33.42,24.43,28.93,9,9073.59,0.38,50.3,0.08,82.08,4625.58
2468,Manual,NO,Otro,Algodon,SI,Manual,SI,5,47,83,70000,14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,69,0,0,0,0,0,60,0,0,0,4,4,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,24,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,48.33,51.67,0,0,0,0,100,0,0,0,0,33.31,24.36,28.83,8.95,15132.61,0.35,181.1,0.12,80.44,34.32,24.54,29.43,9.77,22715.79,0.53,272.6,0.16,79.46,33.32,24.55,28.94,8.77,14238.78,0.37,98.7,0.11,82.39,5441.86
2474,Mecanizado,NO,P4082 (Pioneer),Algodon,SI,Manual,SI,5,48,71,67000,14,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,46,0,0,0,0,0,60,0,0,0,4,4,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,24,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,48.33,51.67,0,0,0,0,100,0,0,0,0,34.22,24.82,29.52,9.4,15785.73,0.5,98.2,0.05,78.29,33.78,24.32,29.05,9.46,22356.15,0.43,306.6,0.19,80.77,33.39,24.65,29.02,8.74,10075.15,0.37,55.7,0.07,82.56,4767.44
2478,Mecanizado,NO,Otro,Algodon,SI,Manual,SI,5,47,76,65000,13,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,92,0,0,0,0,0,30,0,0,0,3,4,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,20,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,38.33,61.67,0,0,0,0,61.67,38.33,0,0,0,34.37,24.89,29.63,9.48,15771.34,0.52,98.2,0.05,77.97,33.68,24.32,29,9.36,22303.83,0.41,317.6,0.21,81.01,33.45,24.58,29.01,8.86,11771.42,0.42,74.7,0.06,82.55,4576.74
2479,Mecanizado,NO,P3966 (Pioneer),Algodon,SI,Manual,NO,5,46,84,71000,16,1,0,0,0,0,0,2,1,0,0,1,3,0,0,0,68.75,0,0,8.75,0,0,72.5,0,0,0,2,5,PLANO O LLANO,LADERA PLANA,2,6,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,25,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,100,0,0,0,0,0,51.67,48.33,0,0,0,33.22,24.32,28.77,8.9,14930.25,0.35,181.3,0.12,80.62,34.39,24.58,29.49,9.82,22703.7,0.55,272.6,0.16,79.3,33.26,24.47,28.87,8.79,14287.47,0.34,98.7,0.11,82.47,4684.88
2502,Mecanizado,NO,DK 234,Maiz,SI,Manual,SI,6,50,83,60000,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,161,0,0,0,0,0,30,0,0,0,3,1.3,ONDULADO,PLANO CON ONDULACIONES,2,6,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,25,PLANTAS NORMALES,NO,NO,SI,SI,BUENO,50,BUENO,NINGUNO,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,33.31,24.36,28.83,8.95,15132.61,0.35,181.1,0.12,80.44,34.32,24.54,29.43,9.77,22715.79,0.53,272.6,0.16,79.46,33.28,24.51,28.89,8.77,15872.84,0.36,119.9,0.12,82.31,4081.4
2516,Mecanizado,NO,PIONEER 30F35,Maiz,SI,Manual,NO,5,47,71,70000,64,1,0,0,0,0,0,1,1,0,0,1,1,0,0,12,69,0,24,0,0,12,60,0,0,1,4,5,PLANO O LLANO,PLANO,2,5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,18,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,46.67,53.33,0,0,0,0,100,0,0,0,0,34.94,23.47,29.2,11.46,16006.31,0.62,95.8,0.08,80.84,35.06,23.22,29.14,11.84,24582.03,0.74,424.4,0.17,81.09,35.2,23.18,29.19,12.02,10507.07,0.77,36.9,0.04,80.76,4744.19
2517,Mecanizado,NO,PIONEER 30F35 HRR,Maiz,SI,Manual,NO,5,47,70,70000,64,1,0,0,0,0,0,1,1,0,0,1,0,0,0,12,69,0,24,0,0,12,60,0,0,1,4,5,PLANO O LLANO,PLANO,2,5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,20,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,34.94,23.46,29.2,11.48,15962.76,0.65,91.8,0.08,80.86,35.06,23.22,29.14,11.84,24471.75,0.74,427.4,0.17,81.09,35.22,23.2,29.21,12.03,10179.27,0.76,33.9,0.04,80.75,4651.16
2609,Mecanizado,SI,DK 234,Algodon,NO,Manual,NO,6,44,78,62000,19,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,230,0,0,0,0,0,0,0,0,0,2,3,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,46,PLANTAS NORMALES,NO,NO,SI,NO,REGULAR,70,BUENO,LENTO,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,33.29,24.35,28.82,8.94,14619.55,0.38,198.3,0.15,80.67,34.52,24.74,29.63,9.78,22745.34,0.59,236,0.12,78.92,33.47,24.32,28.9,9.15,11877.41,0.32,113.8,0.19,81.65,5308.14
3942,Mecanizado,SI,DK 234 YGRR,Algodon,SI,Manual,NO,4,48,80,65000,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,61,0,0,15,0,0,15,0,0,0,2,1,PLANO O LLANO,PLANO,2,6,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,25,PLANTAS NORMALES,NO,NO,SI,SI,ESPACIADO,60,BUENO,NINGUNO,0,0,0,0,0,0,30,0,70,0,100,0,0,0,0,0,0,0,32.75,23.63,28.19,9.12,16404.95,0.22,316.1,0.22,84.11,32.56,23.19,27.87,9.37,23982,0.16,168.5,0.1,83.14,31.68,23.43,27.55,8.25,13621.13,0,90.3,0.06,83.19,5244.19
703,Manual,SI,Otro,Algodon,SI,Manual,NO,6,44,100,64000,7,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,115,0,0,0,0,0,30,0,0,0,4,4,ONDULADO,PLANO CON ONDULACIONES,2,4.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,ATERRONADA,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,23,PLANTAS NORMALES,NO,NO,NO,NO,ESPACIADO,70,BUENO,LENTO,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,32.98,24.86,28.92,8.12,15658.82,0.12,195,0.12,80.82,33.89,24.99,29.44,8.9,24106.05,0.45,320.9,0.17,80.16,32.32,24.03,28.18,8.3,21190.85,0.15,191,0.11,81.45,4576.74
1799,Mecanizado,SI,Otro,Algodon,SI,Mecanizada,NO,5,45,82,75500,17,1,0,0,0,0,0,2,1,0,0,1,5,0,0,9,92,0,23,0,0,30,30,0,0,2,3,4,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,20,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,40,60,0,0,0,0,60,40,0,0,0,34.68,25.07,29.88,9.62,15731.78,0.6,61.7,0.05,77.57,33.48,24.18,28.83,9.31,22218.06,0.36,318,0.21,81.42,33.47,24.7,29.09,8.77,13175.1,0.49,107,0.06,82.09,5547.56
1948,Mecanizado,SI,P4082 (Pioneer),Algodon,SI,Mecanizada,NO,5,48,74,73000,17,1,0,0,0,0,2,0,0,0,1,0,1,0,0,9,131.1,0,23,0,0,75,0,0,0,2,2,4,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,17,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,36.67,63.33,0,0,0,0,63.33,36.67,0,0,0,33.38,24.48,28.93,8.9,15307.87,0.45,188,0.15,80.9,34.64,24.8,29.72,9.84,22929.24,0.6,255.9,0.14,78.65,33.27,24.17,28.72,9.1,11401.79,0.27,118.1,0.2,81.48,5695.35
